u_S,u_V
0.7207609206200094,0.44551432597463597
0.2888680131517144,0.6203616721465477
0.3845702207609206,0.6403240958196337
0.5625880695162048,0.3226867073743542
0.39502113668388916,0.6296383278534523
0.20432127759511506,0.3201033348990136
0.35767966181305777,0.3418271488961954
0.9342414279004227,0.15359323626115548
0.5113903240958196,0.6895255988727101
0.20267731329262564,0.6416157820573039
0.5543682480037576,0.08795209018318459
0.20573038985439174,0.5791451385627054
0.13680131517144198,0.9232033818694223
0.918271488961954,0.11906998590887741
0.16498356035697512,0.3924377642085486
0.5392202912165336,0.4236730859558478
0.3944340065758572,0.7177078440582433
0.45760920620009393,0.853217472992015
0.10603569751056834,0.511507750117426
0.6390324095819634,0.47322686707374356
0.1804837952090183,0.4920150305307656
0.5726867073743541,0.8043682480037576
0.8761155472052606,0.42555190230155004
0.4599577266322217,0.6420854861437294
0.45831376232973225,0.7408407703147017
0.1887036167214655,0.4099342414279004
0.7784170972287459,0.5524894316580554
0.4600751526538281,0.1983325504931893
0.8248003757632691,0.3822217003287929
0.15018788163457022,0.5677548144668859
0.3054250821982151,0.3397134805072804
0.09217942696101455,0.8811648661343354
0.5899483325504932,0.1434945984030061
0.9249647721935181,0.32855800845467353
0.20584781587599812,0.6023954908407703
0.5851338656646313,0.6465476749647722
0.24929544387036168,0.20338186942226397
0.9011272898074213,0.660403945514326
0.27794739314232036,0.46958666040394553
0.3124706434945984,0.611672146547675
0.4273132926256458,0.6257632691404416
0.5233677782996712,0.6908172851103804
0.14302489431658055,0.7669093471113199
0.1807186472522311,0.7462423673085956
0.22968529826209488,0.8799906059182715
0.5783231564114608,0.5052841709722875
0.6865899483325505,0.17449506810709253
0.17825270079849695,0.8522780648191639
0.4421089713480507,0.5054015969938939
0.7144199154532644,0.10415688116486613
0.5449741662752466,0.5783231564114608
0.8157585720995773,0.055072804133395964
0.40100986378581494,0.48602630342883985
0.5575387505871301,0.4480976984499765
0.6628698919680601,0.6632221700328793
0.28511038046031,0.48954908407703146
0.3251526538280883,0.33724753405354624
0.287224048849225,0.46817754814466883
0.5149131047440113,0.5798496946923438
0.11214185063410052,0.3985439173320808
0.3909112259276656,0.50845467355566
0.5655237200563645,0.6315171441991545
0.5442696101456083,0.666157820573039
0.13245655237200563,0.7609206200093941
0.616838891498356,0.3709488022545796
0.8669563175199624,0.5327031470173791
0.042625645843118835,0.9559652418976045
0.13633161108501643,0.8842179426961014
0.9436355096289337,0.02782996712071395
0.8472287458900892,0.14384687646782526
0.6977454203851573,0.597170032879286
0.943400657585721,0.13903240958196336
0.8533348990136215,0.16921089713480508
0.4287224048849225,0.3721230624706435
0.07632691404415218,0.8884452794739314
0.47592766557069044,0.7717238139971818
0.3984264913104744,0.26972757162987315
0.695514325974636,0.46735556599342415
0.19868482855800845,0.4709957726632222
0.3816345702207609,0.818694222639737
0.5589478628464067,0.408290277125411
0.7947393142320338,0.38838656646312825
0.7946218882104275,0.32374354156881163
0.20925317050258338,0.8805777360263034
0.8776420854861438,0.6670972287458901
0.45162047909816816,0.40676373884452793
0.45443870361672145,0.6027477689055895
0.33478158759981214,0.4021841240018788
0.49307186472522313,0.16181305777360264
0.7564584311883513,0.2947393142320338
0.22592766557069047,0.7531705025833725
0.4880225457961484,0.2910991075622358
0.15711601690934712,0.6735556599342414
0.16956317519962424,0.21653358384217944
0.781470173790512,0.421911695631752
0.836895255988727,0.09640676373884453
0.33161108501643966,0.5605918271488962
0.18518083607327385,0.6871770784405824
0.6532409581963363,0.4209722874589009
0.19774542038515736,0.9160403945514326
0.5743306716768436,0.1269375293565054
0.8870361672146547,0.4042977923907938
0.28687177078440584,0.5830201972757163
0.709722874589009,0.7874589008924378
0.1338656646312823,0.6082667919210897
0.6175434476279944,0.40875998121183654
0.29321277595115075,0.1894081728511038
0.49553781117895723,0.8878581493658995
0.4452794739314232,0.7680836073273838
0.1560591827148896,0.8248003757632691
0.18189290746829498,0.78511038046031
0.6973931423203382,0.37141850634100515
0.5670502583372475,0.0693987787693753
0.5427430718647253,0.4282527007984969
0.23661343353687178,0.7403710662282762
0.0692813527477689,0.9842649131047441
0.2918036636918741,0.5833724753405355
0.7853452325035227,0.03581493658994833
0.42426021606387976,0.6835368717707844
0.5573038985439174,0.01632221700328793
0.43318459370596524,0.46019257867543445
0.3600281822451855,0.5327031470173791
0.5137388445279474,0.6679192108971348
0.9220291216533584,0.0409816815406294
0.3503992484734617,0.6149600751526538
0.8959605448567403,0.5258337247534054
0.3176373884452795,0.7846406763738845
0.722170032879286,0.8844527947393143
0.10368717707844058,0.8664279004227337
0.6223579145138562,0.37916862376702676
0.8575622357914514,0.13715359323626117
0.521488961953969,0.1299906059182715
0.4998825739783936,0.6915218412400188
0.7858149365899484,0.2569868482855801
0.38175199624236733,0.09499765147956787
0.5279473931423203,0.37059652418976047
0.24377642085486143,0.719704086425552
0.24624236730859558,0.5691639267261626
0.4643024894316581,0.4961249412869892
0.1825974635979333,0.8973696571160169
0.6256458431188351,0.3897369657116017
0.3953734147487083,0.5546031000469704
0.45267731329262567,0.7805307656176609
0.9322451855331141,0.13198684828558008
0.8906763738844528,0.7356740253640207
0.6790746829497417,0.566580554250822
0.5038750587130107,0.33771723813997184
0.5861906998590888,0.8205730389854392
0.36272898074213245,0.38633161108501646
0.22921559417566933,0.6596993893846876
0.2705495537811179,0.7344997651479568
0.2597463597933302,0.36754344762799435
0.5422733677782997,0.7864020666979803
0.39079379990605917,0.7826444340065759
0.3184593705965242,0.4186237670267731
0.45455612963832787,0.7393142320338187
0.7295678722404885,0.20960544856740254
0.5818459370596524,0.5061061531235321
0.5480272428370127,0.16545326444340067
0.16815406294034757,0.767848755284171
0.47416627524659466,0.6033348990136215
0.15183184593705965,0.7671441991545327
0.12224048849224989,0.900422733677783
0.5905354626585251,0.2656176608736496
0.7060826679192109,0.0967590418036637
0.46700328792860496,0.1443165805542508
0.6412635039924848,0.24577266322217003
0.3509863785814937,0.7527007984969469
0.7182949741662753,0.4247299201503053
0.7050258337247534,0.17801784875528417
0.46148426491310474,0.6240018788163457
0.3404180366369187,0.593236261155472
0.19704086425551903,0.8259746359793331
0.7069046500704557,0.36120244246124944
0.8367778299671207,0.27970878346641614
0.4109910756223579,0.2676139032409582
0.9209722874589009,0.7919210897134805
0.08748238609675904,0.8143494598403006
0.4868482855800845,0.9030061061531235
0.46418506341005167,0.31317519962423673
0.7957961484264913,0.23555659934241427
0.35474401127289806,0.36190699859088776
0.09746359793330202,0.744246124941287
0.5066932832315642,0.5043447627994364
0.6089713480507281,0.31129638327853454
